Subscribers, Delay (ms)
6 Subscribers,54.42
6 Subscribers,54.72
6 Subscribers,87.68
6 Subscribers,88.94
6 Subscribers,57.50
6 Subscribers,57.55
6 Subscribers,58.96
6 Subscribers,74.63
6 Subscribers,75.37
6 Subscribers,89.43
6 Subscribers,56.13
6 Subscribers,71.66
6 Subscribers,73.98
6 Subscribers,86.10
6 Subscribers,88.15
6 Subscribers,88.43
6 Subscribers,50.95
6 Subscribers,52.50
6 Subscribers,64.55
6 Subscribers,72.71
6 Subscribers,78.17
6 Subscribers,83.77
6 Subscribers,57.94
6 Subscribers,71.84
6 Subscribers,74.93
6 Subscribers,82.83
6 Subscribers,83.63
6 Subscribers,87.65
6 Subscribers,59.46
6 Subscribers,61.15
6 Subscribers,61.29
6 Subscribers,84.15
6 Subscribers,85.23
6 Subscribers,87.35
6 Subscribers,50.28
6 Subscribers,50.75
6 Subscribers,52.86
6 Subscribers,68.28
6 Subscribers,74.83
6 Subscribers,81.74
6 Subscribers,50.92
6 Subscribers,53.96
6 Subscribers,67.94
6 Subscribers,69.95
6 Subscribers,82.11
6 Subscribers,87.76
6 Subscribers,49.79
6 Subscribers,53.18
6 Subscribers,57.03
6 Subscribers,59.16
6 Subscribers,80.45
6 Subscribers,82.58
6 Subscribers,45.76
6 Subscribers,50.70
6 Subscribers,50.83
6 Subscribers,51.15
6 Subscribers,75.10
6 Subscribers,83.64
6 Subscribers,49.30
6 Subscribers,50.15
6 Subscribers,53.98
6 Subscribers,54.03
6 Subscribers,55.60
6 Subscribers,93.42
6 Subscribers,50.31
6 Subscribers,50.84
6 Subscribers,50.90
6 Subscribers,51.36
6 Subscribers,69.03
6 Subscribers,69.04
6 Subscribers,68.29
6 Subscribers,74.20
6 Subscribers,79.59
6 Subscribers,86.76
6 Subscribers,87.58
6 Subscribers,91.77
6 Subscribers,45.64
6 Subscribers,50.06
6 Subscribers,51.13
6 Subscribers,51.40
6 Subscribers,66.12
6 Subscribers,73.49
6 Subscribers,47.28
6 Subscribers,68.12
6 Subscribers,73.53
6 Subscribers,74.54
6 Subscribers,77.41
6 Subscribers,90.70
6 Subscribers,52.28
6 Subscribers,52.77
6 Subscribers,52.83
6 Subscribers,62.43
6 Subscribers,68.88
6 Subscribers,94.28
6 Subscribers,77.21
6 Subscribers,83.45
6 Subscribers,90.44
6 Subscribers,93.07
6 Subscribers,94.48
6 Subscribers,99.30
6 Subscribers,43.27
6 Subscribers,52.73
6 Subscribers,54.04
6 Subscribers,56.04
6 Subscribers,86.54
6 Subscribers,88.25
6 Subscribers,52.76
6 Subscribers,54.40
6 Subscribers,62.06
6 Subscribers,68.78
6 Subscribers,70.87
6 Subscribers,81.59
6 Subscribers,56.40
6 Subscribers,72.64
6 Subscribers,83.61
6 Subscribers,84.66
6 Subscribers,88.52
6 Subscribers,90.30
6 Subscribers,50.87
6 Subscribers,52.06
6 Subscribers,54.72
6 Subscribers,55.74
6 Subscribers,64.62
6 Subscribers,72.19
6 Subscribers,50.45
6 Subscribers,51.01
6 Subscribers,52.18
6 Subscribers,74.42
6 Subscribers,78.11
6 Subscribers,92.24
6 Subscribers,42.22
6 Subscribers,51.38
6 Subscribers,57.04
6 Subscribers,58.57
6 Subscribers,72.67
6 Subscribers,73.96
6 Subscribers,59.51
6 Subscribers,61.09
6 Subscribers,61.36
6 Subscribers,63.07
6 Subscribers,85.27
6 Subscribers,105.78
6 Subscribers,55.17
6 Subscribers,68.85
6 Subscribers,91.87
6 Subscribers,94.81
6 Subscribers,97.05
6 Subscribers,109.50
6 Subscribers,48.84
6 Subscribers,50.15
6 Subscribers,51.25
6 Subscribers,55.30
6 Subscribers,69.83
6 Subscribers,76.18
6 Subscribers,44.20
6 Subscribers,54.85
6 Subscribers,76.41
6 Subscribers,82.61
6 Subscribers,84.75
6 Subscribers,94.94
6 Subscribers,44.18
6 Subscribers,51.82
6 Subscribers,51.84
6 Subscribers,51.87
6 Subscribers,64.68
6 Subscribers,68.77
6 Subscribers,50.14
6 Subscribers,50.82
6 Subscribers,50.84
6 Subscribers,67.94
6 Subscribers,78.63
6 Subscribers,94.67
6 Subscribers,45.47
6 Subscribers,51.50
6 Subscribers,52.06
6 Subscribers,64.51
6 Subscribers,91.26
6 Subscribers,91.55
6 Subscribers,50.86
6 Subscribers,51.38
6 Subscribers,53.25
6 Subscribers,73.19
6 Subscribers,77.40
6 Subscribers,82.70
6 Subscribers,44.55
6 Subscribers,49.44
6 Subscribers,49.85
6 Subscribers,66.49
6 Subscribers,69.60
6 Subscribers,75.12
6 Subscribers,48.81
6 Subscribers,52.37
6 Subscribers,52.87
6 Subscribers,62.84
6 Subscribers,74.04
6 Subscribers,103.32
6 Subscribers,46.30
6 Subscribers,51.02
6 Subscribers,51.07
6 Subscribers,56.53
6 Subscribers,62.56
6 Subscribers,75.88
6 Subscribers,57.05
6 Subscribers,67.15
6 Subscribers,82.53
6 Subscribers,83.28
6 Subscribers,83.79
6 Subscribers,85.86
6 Subscribers,57.76
6 Subscribers,61.44
6 Subscribers,69.63
6 Subscribers,71.04
6 Subscribers,73.21
6 Subscribers,95.72
6 Subscribers,44.83
6 Subscribers,51.23
6 Subscribers,53.57
6 Subscribers,53.95
6 Subscribers,78.40
6 Subscribers,88.35
6 Subscribers,55.86
6 Subscribers,56.19
6 Subscribers,73.74
6 Subscribers,77.74
6 Subscribers,81.52
6 Subscribers,87.15
6 Subscribers,63.17
6 Subscribers,68.24
6 Subscribers,78.22
6 Subscribers,80.65
6 Subscribers,86.65
6 Subscribers,87.19
6 Subscribers,50.24
6 Subscribers,52.55
6 Subscribers,52.60
6 Subscribers,65.15
6 Subscribers,87.11
6 Subscribers,96.90
6 Subscribers,44.57
6 Subscribers,53.31
6 Subscribers,66.57
6 Subscribers,73.81
6 Subscribers,82.71
6 Subscribers,90.35
6 Subscribers,45.90
6 Subscribers,54.18
6 Subscribers,62.34
6 Subscribers,82.33
6 Subscribers,84.66
6 Subscribers,87.37
6 Subscribers,57.48
6 Subscribers,72.07
